,subject,predicate,object
63,Armadillo,type,Eukaryote
64,Armadillo,type,Mammal
65,Armadillo,type,Species
66,Donkey,abstract,"The donkey or ass (Equus africanus asinus) is a domesticated member of the horse family, Equidae. The wild ancestor of the donkey is the African wild ass, E. africanus. The donkey has been used as a working animal for at least 5000 years. There are more than 40 million donkeys in the world, mostly in underdeveloped countries, where they are used principally as draught or pack animals. Working donkeys are often associated with those living at or below subsistence levels. Small numbers of donkeys are kept for breeding or as pets in developed countries. A male donkey or ass is called a jack, a female a jenny or jennet; a young donkey is a foal. Jack donkeys are often used to mate with female horses to produce mules; the biological ""reciprocal"" of a mule, from a stallion and jenny as its parents instead, is called a hinny. Asses were first domesticated around 3000 BC, probably in Egypt or Mesopotamia, and have spread around the world. They continue to fill important roles in many places today. While domesticated species are increasing in numbers, the African wild ass is an endangered species. As beasts of burden and companions, asses and donkeys have worked together with humans for millennia."
70,Donkey,type,Eukaryote
72,Donkey,type,Mammal
74,Donkey,type,Insect
76,Donkey,type,Animal
78,Donkey,type,BiologicalLivingObject
83,Baboon,abstract,"Baboons are primates comprising the genus Papio, one of the 23 genera of Old World monkeys. There are five species of baboons, commonly known as hamadryas baboon, Guinea baboon, olive baboon, yellow baboon and chacma baboon. Each species is native to one of five areas of Africa and the hamadryas baboon is also native to part of the Arabian Peninsula. Baboons are among the largest non-hominoid primates and have existed for at least two million years. Baboons vary in size and weight depending on the species. The smallest, the Kinda Baboon, is 50 cm (20 in) in length and weighs only 14 kg (31 lb), while the largest, the chacma baboon, is up to 120 cm (47 in) in length and weighs 40 kg (88 lb). All baboons have long, dog-like muzzles, heavy, powerful jaws with sharp canine teeth, close-set eyes, thick fur except on their muzzles, short tails, and nerveless, hairless pads of skin on their protruding buttocks called ischial callosities that provide for sitting comfort. Male hamadryas baboons have large white manes. Baboons exhibit sexual dimorphism in size, colour and/or canine teeth development. Baboons have diurnality and are terrestrial, but sleep in trees, or on high cliffs or rocks at night, away from predators. They are found in open savannahs and woodlands across Africa. They are omnivorous: common sources of food are grasses, seeds, roots, leaves, bark, various fruits, insects, fish, shellfish, rodents, birds, vervet monkeys and small antelopes. Their principal predators are Nile crocodiles, leopards, lions and hyenas. Most baboons live in hierarchical troops containing harems. Baboons can determine from vocal exchanges what the dominance relations are between individuals. In general, each male can mate with any female; the mating order among the males depends partly on their social rank. Females typically give birth after a six-month gestation, usually to one infant. The females tend to be the primary caretaker of the young, although several females may share the duties for all of their offspring. Offspring are weaned after about a year. They reach sexual maturity around five to eight years. Males leave their birth group, usually before they reach sexual maturity, whereas most females stay in the same group for their lives. Baboons in captivity live up to 45 years, while in the wild they average between 20 to 30 years."
84,Baboon,type,BiologicalLivingObject
88,Baboon,type,Eukaryote
89,Baboon,type,Mammal
98,Baboon,type,Animal
99,Badger,abstract,"Badgers are short-legged omnivores in the families Mustelidae (which also includes the otters, polecats, weasels, and ferrets), and Mephitidae (which also includes the skunks). Badgers are a polyphyletic grouping, and are not a natural taxonomic grouping: badgers are united by their squat bodies, adapted for fossorial activity. All belong to the caniform suborder of carnivoran mammals. The 11 species of mustelid badgers are grouped in four subfamilies: Melinae (4 species, including the European badger), Helictidinae (5 species of ferret-badger), Mellivorinae (the honey badger or ratel), and Taxideinae (the American badger); the respective genera are Arctonyx, Meles, Melogale, Mellivora and Taxidea. Badgers include the most basal mustelids; the American badger is the most basal of all, followed successively by the ratel and Melinae; the estimated split dates are about 17.8, 15.5 and 14.8 million years ago, respectively. The two species of Asiatic stink badgers of the genus Mydaus were formerly included within Melinae (and thus Mustelidae), but more recent genetic evidence indicates these are actually members of the skunk family (Mephitidae). Badger mandibular condyles connect to long cavities in their skulls, which gives resistance to jaw dislocation and increases their bite grip strength. This in turn limits jaw movement to hinging open and shut, or sliding from side to side, but it does not hamper the twisting movement possible for the jaws of most mammals. Badgers have rather short, wide bodies, with short legs for digging. They have elongated, weasel-like heads with small ears. Their tails vary in length depending on species; the stink badger has a very short tail, while the ferret badger's tail can be 46â€“51 cm (18â€“20 in) long, depending on age. They have black faces with distinctive white markings, grey bodies with a light-coloured stripe from head to tail, and dark legs with light-coloured underbellies. They grow to around 90 cm (35 in) in length including tail. The European badger is one of the largest; the American badger, the hog badger, and the honey badger are generally a little smaller and lighter. Stink badgers are smaller still, and ferret badgers smallest of all. They weigh around 9â€“11 kg (20â€“24 lb), while some Eurasian badgers weigh around 18 kg (40 lb)."
101,Badger,type,BiologicalLivingObject
102,Badger,type,Mammal
103,Badger,type,Mammal
104,Badger,type,Eukaryote
105,Badger,type,Species
106,Badger,type,Insect
107,Badger,type,Animal
110,Badger,type,Animal
112,Badger,type,Eukaryote
113,Barracuda,abstract,"A barracuda is a large, predatory ray-finned fish known for its fearsome appearance and ferocious behaviour. The barracuda is a saltwater fish of the genus Sphyraena, the only genus in the family Sphyraenidae which was named by Constantine Samuel Rafinesque in 1815. It is found in tropical and subtropical oceans worldwide ranging from the eastern border of the Atlantic Ocean to the Red Sea, on its western border the Caribbean Sea, and in tropical areas of the Pacific Ocean. Barracudas reside near the top of the water and near coral reefs and sea grasses. Barracudas are targeted by sport-fishing enthusiasts."
114,Barracuda,type,Fish
115,Barracuda,type,Eukaryote
117,Barracuda,type,BiologicalLivingObject
118,Barracuda,type,Animal
119,Bat,abstract,"Bats are mammals of the order Chiroptera; with their forelimbs adapted as wings, they are the only mammals capable of true and sustained flight. Bats are more manoeuvrable than birds, flying with their very long spread-out digits covered with a thin membrane or patagium. The smallest bat, and arguably the smallest extant mammal, is Kitti's hog-nosed bat, which is 29â€“34 millimetres (1 1â„8â€“1 3â„8 inches) in length, 150 mm (6 in) across the wings and 2â€“2.6 g (1â„16â€“3â„32 oz) in mass. The largest bats are the flying foxes and the giant golden-crowned flying fox, Acerodon jubatus, which can weigh 1.6 kg (3 1â„2 lb) and have a wingspan of 1.7 m (5 ft 7 in). The second largest order of mammals after rodents, bats comprise about 20% of all classified mammal species worldwide, with over 1,400 species. These were traditionally divided into two suborders: the largely fruit-eating megabats, and the echolocating microbats. But more recent evidence has supported dividing the order into Yinpterochiroptera and Yangochiroptera, with megabats as members of the former along with several species of microbats. Many bats are insectivores, and most of the rest are frugivores (fruit-eaters). A few species feed on animals other than insects; for example, the vampire bats feed on blood. Most bats are nocturnal, and many roost in caves or other refuges; it is uncertain whether bats have these behaviours to escape predators. Bats are present throughout the world, with the exception of extremely cold regions. They are important in their ecosystems for pollinating flowers and dispersing seeds; many tropical plants depend entirely on bats for these services. Bats provide humans with some benefits, at the cost of some threats. Bat dung has been mined as guano from caves and used as fertiliser. Bats consume insect pests, reducing the need for pesticides. They are sometimes numerous enough to serve as tourist attractions, and are used as food across Asia and the Pacific Rim. They are natural reservoirs of many pathogens, such as rabies; and since they are highly mobile, social, and long-lived, they can readily spread disease. In many cultures, bats are popularly associated with darkness, malevolence, witchcraft, vampires, and death."
120,Bat,type,Mammal
121,Bat,type,BiologicalLivingObject
123,Bat,type,Eukaryote
124,Bat,type,Animal
125,Bear,abstract,"Bears are carnivoran mammals of the family Ursidae. They are classified as caniforms, or doglike carnivorans. Although only eight species of bears are extant, they are widespread, appearing in a wide variety of habitats throughout the Northern Hemisphere and partially in the Southern Hemisphere. Bears are found on the continents of North America, South America, Europe, and Asia. Common characteristics of modern bears include large bodies with stocky legs, long snouts, small rounded ears, shaggy hair, plantigrade paws with five nonretractile claws, and short tails. While the polar bear is mostly carnivorous, and the giant panda feeds almost entirely on bamboo, the remaining six species are omnivorous with varied diets. With the exception of courting individuals and mothers with their young, bears are typically solitary animals. They may be diurnal or nocturnal and have an excellent sense of smell. Despite their heavy build and awkward gait, they are adept runners, climbers, and swimmers. Bears use shelters, such as caves and logs, as their dens; most species occupy their dens during the winter for a long period of hibernation, up to 100 days. Bears have been hunted since prehistoric times for their meat and fur; they have been used for bear-baiting and other forms of entertainment, such as being made to dance. With their powerful physical presence, they play a prominent role in the arts, mythology, and other cultural aspects of various human societies. In modern times, bears have come under pressure through encroachment on their habitats and illegal trade in bear parts, including the Asian bile bear market. The IUCN lists six bear species as vulnerable or endangered, and even least concern species, such as the brown bear, are at risk of extirpation in certain countries. The poaching and international trade of these most threatened populations are prohibited, but still ongoing."
130,Bear,type,Mammal
131,Bear,type,Eukaryote
134,Bear,type,BiologicalLivingObject
135,Bear,type,Animal
138,Beaver,abstract,"The beaver (genus Castor) is a large, primarily nocturnal, semiaquatic rodent. Castor includes two extant species, the North American beaver (Castor canadensis) (native to North America) and Eurasian beaver (Castor fiber) (Eurasia). Beavers are known for building dams, canals, and lodges (homes). They are the second-largest rodent in the world (after the capybara). Their colonies create one or more dams to provide still, deep water to protect against predators, and to float food and building material. The North American beaver population was once more than 60 million, but as of 1988 was 6â€“12 million. This population decline is the result of extensive hunting for fur, for glands used as medicine and perfume, and because the beavers' harvesting of trees and flooding of waterways may interfere with other land uses."
140,Beaver,type,Mammal
141,Beaver,type,Eukaryote
146,Beaver,type,BiologicalLivingObject
147,Beaver,type,Animal
152,Bee,abstract,"Bees are flying insects closely related to wasps and ants, known for their role in pollination and, in the case of the best-known bee species, the western honey bee, for producing honey. Bees are a monophyletic lineage within the superfamily Apoidea. They are presently considered a clade, called Anthophila. There are over 16,000 known species of bees in seven recognized biological families. Some species â€” including honey bees, bumblebees, and stingless bees â€” live socially in colonies while some species â€” including mason bees, carpenter bees, leafcutter bees, and sweat bees â€” are solitary. Bees are found on every continent except for Antarctica, in every habitat on the planet that contains insect-pollinated flowering plants. The most common bees in the Northern Hemisphere are the Halictidae, or sweat bees, but they are small and often mistaken for wasps or flies. Bees range in size from tiny stingless bee species, whose workers are less than 2 millimetres (0.08 in) long, to Megachile pluto, the largest species of leafcutter bee, whose females can attain a length of 39 millimetres (1.54 in). Bees feed on nectar and pollen, the former primarily as an energy source and the latter primarily for protein and other nutrients. Most pollen is used as food for their larvae. Vertebrate predators of bees include birds such as bee-eaters; insect predators include beewolves and dragonflies. Bee pollination is important both ecologically and commercially, and the decline in wild bees has increased the value of pollination by commercially managed hives of honey bees. The analysis of 353 wild bee and hoverfly species across Britain from 1980 to 2013 found the insects have been lost from a quarter of the places they inhabited in 1980. Human beekeeping or apiculture has been practised for millennia, since at least the times of Ancient Egypt and Ancient Greece. Bees have appeared in mythology and folklore, through all phases of art and literature from ancient times to the present day, although primarily focused in the Northern Hemisphere where beekeeping is far more common."
153,Bee,type,Insect
154,Bee,type,Eukaryote
157,Bee,type,Animal
158,Bee,type,BiologicalLivingObject
159,Bison,abstract,"Bison (/ËˆbaÉªsn/) are large, even-toed ungulates in the genus Bison within the subfamily Bovinae. Two extant and six extinct species are recognised. Of the six extinct species, five became extinct in the Quaternary extinction event. Bison palaeosinensis evolved in the Early Pleistocene in South Asia, and was the evolutionary ancestor of B. priscus (steppe bison), which was the ancestor of all other Bison species. From 2 million years ago to 6,000 BC, steppe bison ranged across the mammoth steppe, inhabiting Europe and northern Asia with B. schoetensacki (woodland bison), and North America with B. antiquus, B. latifrons, and B. occidentalis. The last species to go extinct, B. occidentalis, was succeeded at 3,000 BC by B. bison. Of the two surviving species, the American bison, B. bison, found only in North America, is the more numerous. Although commonly known as a buffalo in the United States and Canada, it is only distantly related to the true buffalo. The North American species is composed of two subspecies, the Plains bison, B. b. bison, and the wood bison, B. b. athabascae, which is the namesake of Wood Buffalo National Park in Canada. A third subspecies, the eastern bison (B. b. pennsylvanicus) is no longer considered a valid taxon, being a junior synonym of B. b. bison. References to ""woods bison"" or ""wood bison"" from the eastern United States confusingly refer to this subspecies, not B. b. athabascae, which was not found in the region. The European bison, B. bonasus, or wisent, is found in Europe and the Caucasus, reintroduced after being extinct in the wild. While all bison species are classified in their own genus, they are sometimes bred with domestic cattle (genus Bos) and produce sometimes fertile offspring called beefalo or zubron."
160,Bison,type,Mammal
163,Pig,abstract,"A pig is any of the animals in the genus Sus, within the even-toed ungulate family Suidae. Pigs include domestic pigs and their ancestor, the common Eurasian wild boar (Sus scrofa), along with other species. Pigs, like all suids, are native to the Eurasian and African continents, ranging from Europe to the Pacific islands. Suids other than the pig are the babirusa of Indonesia, the pygmy hog of Asia, the warthog of Africa, and another genus of pigs from Africa. The suids are a sister clade to peccaries. Juvenile pigs are known as piglets. Pigs are highly social and intelligent animals. With around 1 billion individuals alive at any time, the domestic pig is among the most populous large mammals in the world. Pigs are omnivores and can consume a wide range of food. Pigs are biologically similar to humans and are thus ."
165,Pig,type,BiologicalLivingObject
167,Pig,type,Mammal
171,Pig,type,Animal
174,Pig,type,Eukaryote
176,Galago,abstract,"Galagos , also known as bush babies, or nagapies (meaning ""night monkeys"" in Afrikaans), are small nocturnal primates native to continental, sub-Sahara Africa, and make up the family Galagidae (also sometimes called Galagonidae). They are considered a sister group of the Lorisidae. According to some accounts, the name ""bush baby"" comes from either the animal's cries or its appearance. The Ghanaian name aposor is given to them because of their firm grip on branches. In both variety and abundance, the bush babies are the most successful strepsirrhine primates in Africa, according to the African Wildlife Foundation."
180,Galago,type,Insect
181,Galago,type,Animal
182,Galago,type,BiologicalLivingObject
185,Galago,type,Eukaryote
186,Galago,type,Mammal
189,Butterfly,abstract,"Butterflies are insects in the macrolepidopteran clade Rhopalocera from the order Lepidoptera, which also includes moths. Adult butterflies have large, often brightly coloured wings, and conspicuous, fluttering flight. The group comprises the large superfamily Papilionoidea, which contains at least one former group, the skippers (formerly the superfamily ""Hesperioidea""), and the most recent analyses suggest it also contains the moth-butterflies (formerly the superfamily ""Hedyloidea""). Butterfly fossils date to the Paleocene, about 56 million years ago. Butterflies have the typical four-stage insect life cycle. Winged adults lay eggs on the food plant on which their larvae, known as caterpillars, will feed. The caterpillars grow, sometimes very rapidly, and when fully developed, pupate in a chrysalis. When metamorphosis is complete, the pupal skin splits, the adult insect climbs out, and after its wings have expanded and dried, it flies off. Some butterflies, especially in the tropics, have several generations in a year, while others have a single generation, and a few in cold locations may take several years to pass through their entire life cycle. Butterflies are often polymorphic, and many species make use of camouflage, mimicry and aposematism to evade their predators. Some, like the monarch and the painted lady, migrate over long distances. Many butterflies are attacked by parasites or parasitoids, including wasps, protozoans, flies, and other invertebrates, or are preyed upon by other organisms. Some species are pests because in their larval stages they can damage domestic crops or trees; other species are agents of pollination of some plants. Larvae of a few butterflies (e.g., harvesters) eat harmful insects, and a few are predators of ants, while others live as mutualists in association with ants. Culturally, butterflies are a popular motif in the visual and literary arts."
190,Butterfly,type,Eukaryote
191,Butterfly,type,Insect
192,Butterfly,type,Animal
193,Butterfly,type,BiologicalLivingObject
195,Camel,abstract,"A camel is an even-toed ungulate in the genus Camelus that bears distinctive fatty deposits known as ""humps"" on its back. Camels have long been domesticated and, as livestock, they provide food (milk and meat) and textiles (fiber and felt from hair). Camels are working animals especially suited to their desert habitat and are a vital means of transport for passengers and cargo. There are three surviving species of camel. The one-humped dromedary makes up 94% of the world's camel population, and the two-humped Bactrian camel makes up 6%. The Wild Bactrian camel is a separate species and is now critically endangered. The word camel is also used informally in a wider sense, where the more correct term is ""camelid"", to include all seven species of the family Camelidae: the true camels (the above three species), along with the ""New World"" camelids: the llama, the alpaca, the guanaco, and the vicuÃ±a. The word itself is derived via Latin: camelus and Greek: ÎºÎ¬Î¼Î·Î»Î¿Ï‚ (kamÄ“los) from Hebrew or Phoenician: gÄmÄl."
198,Camel,type,BiologicalLivingObject
202,Camel,type,Mammal
207,Camel,type,Animal
212,Camel,type,Eukaryote
214,Cat,abstract,"The cat (Felis catus) is a domestic species of small carnivorous mammal. It is the only domesticated species in the family Felidae and is often referred to as the domestic cat to distinguish it from the wild members of the family. A cat can either be a house cat, a farm cat or a feral cat; the latter ranges freely and avoids human contact. Domestic cats are valued by humans for companionship and their ability to hunt rodents. About 60 cat breeds are recognized by various cat registries. The cat is similar in anatomy to the other felid species: it has a strong flexible body, quick reflexes, sharp teeth and retractable claws adapted to killing small prey. Its night vision and sense of smell are well developed. Cat communication includes vocalizations like meowing, purring, trilling, hissing, growling and grunting as well as cat-specific body language. It is a solitary hunter but a social species. It can hear sounds too faint or too high in frequency for human ears, such as those made by mice and other small mammals. It is a predator that is most active at dawn and dusk. It secretes and perceives pheromones. Female domestic cats can have kittens from spring to late autumn, with litter sizes often ranging from two to five kittens. Domestic cats are bred and shown at events as registered pedigreed cats, a hobby known as cat fancy. Failure to control breeding of pet cats by spaying and neutering, as well as abandonment of pets, resulted in large numbers of feral cats worldwide, contributing to the extinction of entire bird, mammal, and reptile species, and evoking population control. Cats were first domesticated in the Near East around 7500 BC. It was long thought that cat domestication was initiated in Ancient Egypt, as since around 3100 BC veneration was given to cats in ancient Egypt. As of 2017, the domestic cat was the second-most popular pet in the United States by number of pets owned, after freshwater fish, with 95 million cats owned. In the United Kingdom, around 7.3 million cats lived in more than 4.8 million households as of 2019."
215,Cat,type,Eukaryote
217,Cat,type,BiologicalLivingObject
218,Cat,type,Mammal
219,Cat,type,Animal
220,Caterpillar,abstract,"Caterpillars  are the larval stage of members of the order Lepidoptera (the insect order comprising butterflies and moths). As with most common names, the application of the word is arbitrary, since the larvae of sawflies are commonly called caterpillars as well. Both lepidopteran and symphytan larvae have eruciform body shapes. Caterpillars of most species are herbivorous (folivorous), but not all; some (about 1%) are insectivorous, even cannibalistic. Some feed on other animal products; for example, clothes moths feed on wool, and horn moths feed on the hooves and horns of dead ungulates. Caterpillars are typically voracious feeders and many of them are among the most serious of agricultural pests. In fact many moth species are best known in their caterpillar stages because of the damage they cause to fruits and other agricultural produce, whereas the moths are obscure and do no direct harm. Conversely, various species of caterpillar are valued as sources of silk, as human or animal food, or for biological control of pest plants."
